Time, TempExt, TempInt, TempRef, Fan, Resistor
2021-03-18 15:31:51, 27.300, 50.177, 30.000, 100.000, 0.000
2021-03-18 15:31:52, 27.300, 50.177, 30.000, 100.000, 0.000
2021-03-18 15:31:54, 27.300, 49.629, 30.000, 100.000, 0.000
2021-03-18 15:31:55, 27.300, 48.888, 30.000, 100.000, 0.000
2021-03-18 15:31:57, 27.300, 48.888, 30.000, 100.000, 0.000
2021-03-18 15:31:58, 27.290, 47.792, 30.000, 100.000, 0.000
2021-03-18 15:31:59, 27.300, 46.954, 30.000, 100.000, 0.000
2021-03-18 15:32:01, 27.300, 46.954, 30.000, 100.000, 0.000
2021-03-18 15:32:02, 27.290, 44.827, 30.000, 100.000, 0.000
2021-03-18 15:32:03, 27.290, 45.021, 30.000, 100.000, 0.000
2021-03-18 15:32:05, 27.280, 45.021, 30.000, 100.000, 0.000
2021-03-18 15:32:06, 27.290, 45.085, 30.000, 100.000, 0.000
2021-03-18 15:32:07, 27.290, 45.955, 30.000, 100.000, 0.000
2021-03-18 15:32:09, 27.300, 45.955, 30.000, 100.000, 0.000
2021-03-18 15:32:10, 27.300, 45.955, 30.000, 100.000, 0.000
2021-03-18 15:32:12, 27.310, 47.083, 30.000, 100.000, 0.000
2021-03-18 15:32:13, 27.300, 47.083, 30.000, 100.000, 0.000
2021-03-18 15:32:15, 27.290, 47.083, 30.000, 100.000, 0.000
2021-03-18 15:32:16, 27.290, 45.987, 30.000, 100.000, 0.000
2021-03-18 15:32:17, 27.290, 45.987, 30.000, 100.000, 0.000
2021-03-18 15:32:19, 27.280, 45.987, 30.000, 100.000, 0.000
2021-03-18 15:32:20, 27.280, 45.987, 30.000, 100.000, 0.000
2021-03-18 15:32:22, 27.290, 46.471, 30.000, 100.000, 0.000
2021-03-18 15:32:23, 27.290, 46.471, 30.000, 100.000, 0.000
2021-03-18 15:32:24, 27.280, 46.857, 30.000, 100.000, 0.000
2021-03-18 15:32:26, 27.280, 46.890, 30.000, 100.000, 0.000
2021-03-18 15:32:27, 27.290, 46.890, 30.000, 100.000, 0.000
2021-03-18 15:32:28, 27.280, 46.213, 30.000, 100.000, 0.000
2021-03-18 15:32:30, 27.290, 46.922, 30.000, 100.000, 0.000
2021-03-18 15:32:31, 27.280, 46.922, 30.000, 100.000, 0.000
2021-03-18 15:32:33, 27.280, 46.567, 30.000, 100.000, 0.000
2021-03-18 15:32:34, 27.280, 46.567, 30.000, 100.000, 0.000
2021-03-18 15:32:36, 27.280, 46.567, 30.000, 100.000, 0.000
2021-03-18 15:32:37, 27.280, 47.760, 30.000, 100.000, 0.000
2021-03-18 15:32:38, 27.280, 47.599, 30.000, 100.000, 0.000
2021-03-18 15:32:40, 27.290, 47.599, 30.000, 100.000, 0.000
2021-03-18 15:32:41, 27.280, 46.825, 30.000, 100.000, 0.000
2021-03-18 15:32:43, 27.290, 46.148, 30.000, 100.000, 0.000
2021-03-18 15:32:44, 27.290, 46.148, 30.000, 100.000, 0.000
2021-03-18 15:32:45, 27.290, 45.568, 30.000, 100.000, 0.000
2021-03-18 15:32:47, 27.300, 43.055, 30.000, 100.000, 0.000
2021-03-18 15:32:48, 27.300, 43.055, 30.000, 100.000, 0.000
2021-03-18 15:32:49, 27.290, 42.958, 30.000, 100.000, 0.000
2021-03-18 15:32:51, 27.300, 42.958, 30.000, 100.000, 0.000
2021-03-18 15:32:52, 27.300, 42.958, 30.000, 100.000, 0.000
2021-03-18 15:32:54, 27.300, 42.958, 30.000, 100.000, 0.000
2021-03-18 15:32:55, 27.290, 42.571, 30.000, 100.000, 0.000
2021-03-18 15:32:56, 27.300, 43.506, 30.000, 100.000, 0.000
2021-03-18 15:32:58, 27.290, 43.506, 30.000, 100.000, 0.000
